ADSL	ENSG00000239900
ALG12	ENSG00000182858
AMN1	ENSG00000151743
APOBEC3F	ENSG00000128394
APOBEC3G	ENSG00000239713
APOL1	ENSG00000100342
APOL2	ENSG00000128335
ARSA	ENSG00000100299
ATF4	ENSG00000128272
ATF4P1	ENSG00000213338
ATF4P2	ENSG00000273041
ATF4P3	ENSG00000228218
ATF4P4	ENSG00000256167
ATP6V1E1	ENSG00000131100
ATP6V1E1P1	ENSG00000225099
ATP6V1E1P2	ENSG00000266549
ATP6V1E1P3	ENSG00000256293
BANF2	ENSG00000125888
BID	ENSG00000015475
C1QTNF2	ENSG00000145861
C22orf15	ENSG00000169314
CDC42EP1	ENSG00000128283
CHCHD10	ENSG00000250479
CHEK2	ENSG00000183765
CHEK2P1	ENSG00000275828
CHEK2P2	ENSG00000259156
CHEK2P3	ENSG00000234898
CHEK2P4	ENSG00000235969
CHEK2P5	ENSG00000234541
CHEK2P6	ENSG00000261405
CHEK2P7	ENSG00000260516
CHKB-CPT1B	ENSG00000254413
CHST13	ENSG00000180767
CIMAP1B	ENSG00000177989
CRYBA4	ENSG00000196431
CRYBB1	ENSG00000100122
CRYBB3	ENSG00000100053
CSNK1E	ENSG00000213923
CST13P	ENSG00000204663
DEPDC5	ENSG00000100150
DESI1	ENSG00000100418
DGCR2	ENSG00000070413
DRICH1	ENSG00000189269
EIF3D	ENSG00000100353
ENSG00000285304	ENSG00000285304
ENSG00000291240	ENSG00000291240
EP300	ENSG00000100393
EP300-AS1	ENSG00000231993
ESCO2	ENSG00000171320
FARSA	ENSG00000179115
FARSA-AS1	ENSG00000266975
FBXO7	ENSG00000100225
FMN1	ENSG00000248905
GAS2L1	ENSG00000185340
GAS2L1P1	ENSG00000229511
GAS2L1P2	ENSG00000228376
GGA1	ENSG00000100083
GP1BB	ENSG00000203618
GUCD1	ENSG00000138867
HMOX1	ENSG00000100292
HPS4	ENSG00000100099
IFT27	ENSG00000100360
IGLL5	ENSG00000254709
IL17RA	ENSG00000177663
INF2	ENSG00000203485
INPP5J	ENSG00000185133
KCNJ4	ENSG00000168135
KCTD17	ENSG00000100379
KIAA1671	ENSG00000197077
KIAA1671-AS1	ENSG00000203280
KREMEN1	ENSG00000183762
LZTR1	ENSG00000099949
MCAT	ENSG00000100294
MCHR1	ENSG00000128285
MEI1	ENSG00000167077
MIF	ENSG00000240972
MIF-AS1	ENSG00000218537
MIF4GD	ENSG00000125457
MIF4GD-DT	ENSG00000263843
MLC1	ENSG00000100427
MN1	ENSG00000169184
MORC2	ENSG00000133422
MORC2-AS1	ENSG00000235989
MPPED1	ENSG00000186732
MRPL3	ENSG00000114686
MRPL30	ENSG00000185414
MRPL30P1	ENSG00000276576
MRPL32	ENSG00000106591
MRPL32P1	ENSG00000220125
MRPL32P2	ENSG00000229037
MRPL33	ENSG00000243147
MRPL34	ENSG00000130312
MRPL35	ENSG00000132313
MRPL35P1	ENSG00000220868
MRPL35P2	ENSG00000232075
MRPL35P3	ENSG00000226253
MRPL35P4	ENSG00000230691
MRPL36	ENSG00000171421
MRPL36P1	ENSG00000225392
MRPL37	ENSG00000116221
MRPL37P1	ENSG00000266946
MRPL38	ENSG00000204316
MRPL39	ENSG00000154719
MRPL3P1	ENSG00000215349
MRPL40	ENSG00000185608
MRPL40P1	ENSG00000256037
MTMR3	ENSG00000100330
MYH9	ENSG00000100345
MYH9-DT	ENSG00000223695
NAGA	ENSG00000198951
NCF4	ENSG00000100365
NCF4-AS1	ENSG00000183822
NDUFA6	ENSG00000184983
NDUFA6-DT	ENSG00000237037
NEFH	ENSG00000100285
NEFHP1	ENSG00000223489
NEXMIF	ENSG00000050030
NF2	ENSG00000186575
NFKBID	ENSG00000167604
NUP50	ENSG00000093000
NUP50-DT	ENSG00000226328
NUP50P1	ENSG00000259010
NUP50P4	ENSG00000219736
PACSIN2	ENSG00000100266
PAXBP1	ENSG00000159086
PAXBP1-AS1	ENSG00000238197
PAXBP1P1	ENSG00000233489
PDGFB	ENSG00000100311
PES1	ENSG00000100029
PES1P1	ENSG00000248191
PES1P2	ENSG00000229268
PEX26	ENSG00000215193
PHF5A	ENSG00000100410
PHF5AP1	ENSG00000267178
PHF5AP3	ENSG00000244730
PHF5AP4	ENSG00000270431
PHF5AP5	ENSG00000238259
PHF5AP7	ENSG00000249540
PI4KA	ENSG00000241973
PI4KAP1	ENSG00000274602
PI4KAP2	ENSG00000183506
PICK1	ENSG00000100151
PIK3IP1	ENSG00000100100
PIK3IP1-DT	ENSG00000228839
PIWIL3	ENSG00000184571
PLXNB2	ENSG00000196576
PNPLA3	ENSG00000100344
POLR3H	ENSG00000100413
PPARA	ENSG00000186951
PRAME	ENSG00000185686
PRAMEF1	ENSG00000116721
PRAMEF10	ENSG00000187545
PRAMEF11	ENSG00000239810
PRAMEF12	ENSG00000116726
PRAMEF13	ENSG00000279169
PRAMEF14	ENSG00000204481
PRAMEF15	ENSG00000204501
PRAMEF17	ENSG00000204479
PRAMEF18	ENSG00000279804
PRAMEF19	ENSG00000204480
PRAMEF2	ENSG00000120952
PRAMEF20	ENSG00000204478
PRAMEF25	ENSG00000229571
PRAMEF26	ENSG00000280267
PRAMEF27	ENSG00000274764
PRAMEF28P	ENSG00000274178
PRAMEF29P	ENSG00000234064
PRAMEF30P	ENSG00000231103
PRAMEF31P	ENSG00000250894
PRAMEF32P	ENSG00000231219
PRAMEF33	ENSG00000237700
PRAMEF34P	ENSG00000277862
PRAMEF35P	ENSG00000236179
PRAMEF36P	ENSG00000229978
PRAMEF4	ENSG00000243073
PRAMEF5	ENSG00000270601
PRAMEF6	ENSG00000232423
PRAMEF7	ENSG00000204510
PRAMEF8	ENSG00000182330
PRAMEF9	ENSG00000204505
PRAMENP	ENSG00000197549
PRODH	ENSG00000100033
PRODH2	ENSG00000250799
PRODHLP	ENSG00000161132
RABL2B	ENSG00000079974
RANGAP1	ENSG00000100401
RHBDD3	ENSG00000100263
RNF185	ENSG00000138942
RNF185-AS1	ENSG00000254835
RNF2	ENSG00000121481
RNF20	ENSG00000155827
RNF207	ENSG00000158286
RNF207-AS1	ENSG00000226944
RNF208	ENSG00000212864
RNF212	ENSG00000178222
RNF212B	ENSG00000215277
RNF213	ENSG00000173821
RNF213-AS1	ENSG00000263069
RNF214	ENSG00000167257
RNF215	ENSG00000099999
RNF216	ENSG00000011275
RNF216-IT1	ENSG00000237738
RNF216P1	ENSG00000196204
RNF217	ENSG00000146373
RNF217-AS1	ENSG00000236548
RNF220	ENSG00000187147
RNF222	ENSG00000189051
RNF223	ENSG00000237330
RNF224	ENSG00000233198
RNF225	ENSG00000269855
RNF227	ENSG00000179859
RNF24	ENSG00000101236
RNF25	ENSG00000163481
RNF26	ENSG00000173456
RNF2P1	ENSG00000231381
RPL3	ENSG00000100316
RPL30	ENSG00000156482
RPL30-AS1	ENSG00000245970
RPL30P1	ENSG00000225713
RPL30P10	ENSG00000243050
RPL30P11	ENSG00000244573
RPL30P12	ENSG00000240631
RPL30P13	ENSG00000229014
RPL30P14	ENSG00000243256
RPL30P15	ENSG00000233357
RPL30P16	ENSG00000230169
RPL30P2	ENSG00000234272
RPL30P3	ENSG00000223640
RPL30P4	ENSG00000237676
RPL30P5	ENSG00000239525
RPL30P6	ENSG00000242936
RPL30P7	ENSG00000244361
RPL30P9	ENSG00000242709
RPL31	ENSG00000071082
RPL31P1	ENSG00000214326
RPL31P10	ENSG00000213942
RPL31P11	ENSG00000213075
RPL31P12	ENSG00000227207
RPL31P13	ENSG00000228646
RPL31P14	ENSG00000237930
RPL31P15	ENSG00000232430
RPL31P16	ENSG00000233159
RPL31P17	ENSG00000235225
RPL31P18	ENSG00000213849
RPL31P19	ENSG00000227309
RPL31P2	ENSG00000230837
RPL31P20	ENSG00000229756
RPL31P21	ENSG00000241400
RPL31P22	ENSG00000227433
RPL31P23	ENSG00000244740
RPL31P24	ENSG00000241853
RPL31P25	ENSG00000242768
RPL31P26	ENSG00000241281
RPL31P28	ENSG00000219863
RPL31P29	ENSG00000231316
RPL31P3	ENSG00000237929
RPL31P30	ENSG00000230702
RPL31P31	ENSG00000239983
RPL31P32	ENSG00000216902
RPL31P33	ENSG00000218049
RPL31P34	ENSG00000231359
RPL31P35	ENSG00000232612
RPL31P36	ENSG00000224545
RPL31P37	ENSG00000213302
RPL31P38	ENSG00000179131
RPL31P39	ENSG00000213291
RPL31P4	ENSG00000213598
RPL31P40	ENSG00000253964
RPL31P41	ENSG00000239261
RPL31P42	ENSG00000237083
RPL31P43	ENSG00000213557
RPL31P44	ENSG00000213657
RPL31P45	ENSG00000233318
RPL31P46	ENSG00000241170
RPL31P47	ENSG00000233541
RPL31P48	ENSG00000243164
RPL31P49	ENSG00000241680
RPL31P5	ENSG00000205767
RPL31P50	ENSG00000231788
RPL31P51	ENSG00000213470
RPL31P52	ENSG00000219355
RPL31P53	ENSG00000225352
RPL31P54	ENSG00000229865
RPL31P56	ENSG00000240760
RPL31P57	ENSG00000256358
RPL31P58	ENSG00000243053
RPL31P59	ENSG00000240364
RPL31P6	ENSG00000240484
RPL31P60	ENSG00000239988
RPL31P61	ENSG00000243297
RPL31P62	ENSG00000235328
RPL31P63	ENSG00000236735
RPL31P64	ENSG00000236425
RPL31P7	ENSG00000232083
RPL31P8	ENSG00000213896
RPL31P9	ENSG00000264054
RPL32	ENSG00000144713
RPL32P1	ENSG00000224796
RPL32P10	ENSG00000213157
RPL32P11	ENSG00000213872
RPL32P12	ENSG00000242209
RPL32P13	ENSG00000241002
RPL32P14	ENSG00000242654
RPL32P15	ENSG00000213461
RPL32P16	ENSG00000219747
RPL32P17	ENSG00000213210
RPL32P18	ENSG00000146677
RPL32P19	ENSG00000226836
RPL32P2	ENSG00000243094
RPL32P20	ENSG00000243537
RPL32P21	ENSG00000125385
RPL32P22	ENSG00000213529
RPL32P23	ENSG00000214015
RPL32P24	ENSG00000241020
RPL32P25	ENSG00000242993
RPL32P26	ENSG00000241941
RPL32P27	ENSG00000239617
RPL32P28	ENSG00000232105
RPL32P29	ENSG00000244270
RPL32P3	ENSG00000251474
RPL32P30	ENSG00000241130
RPL32P31	ENSG00000213128
RPL32P32	ENSG00000241157
RPL32P33	ENSG00000243514
RPL32P34	ENSG00000239524
RPL32P35	ENSG00000223995
RPL32P36	ENSG00000189145
RPL32P4	ENSG00000243761
RPL32P5	ENSG00000236325
RPL32P6	ENSG00000224064
RPL32P7	ENSG00000243396
RPL32P8	ENSG00000240246
RPL32P9	ENSG00000241143
RPL34	ENSG00000109475
RPL34-DT	ENSG00000234492
RPL34P1	ENSG00000237049
RPL34P10	ENSG00000236489
RPL34P11	ENSG00000230480
RPL34P16	ENSG00000217239
RPL34P17	ENSG00000240534
RPL34P18	ENSG00000240509
RPL34P19	ENSG00000230240
RPL34P20	ENSG00000231508
RPL34P21	ENSG00000244451
RPL34P22	ENSG00000244267
RPL34P23	ENSG00000243669
RPL34P24	ENSG00000240808
RPL34P26	ENSG00000223676
RPL34P27	ENSG00000232858
RPL34P29	ENSG00000244551
RPL34P3	ENSG00000223671
RPL34P31	ENSG00000239223
